kind,name,path_or_branch,sha,category,reason,pr,delete_method
branch,claude/nifty-mcclintock-fe137b,claude/nifty-mcclintock-fe137b,4ee2b97,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/nostalgic-franklin-3eaf1a,claude/nostalgic-franklin-3eaf1a,b65363a,DELETE_MERGED,IN-MAIN ancestry; freed after worktree retire,,git branch -d
branch,claude/reverent-lamarr-504059,claude/reverent-lamarr-504059,ab376f1,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/strange-nobel-b666b1,claude/strange-nobel-b666b1,7aa535c,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/thirsty-golick-043667,claude/thirsty-golick-043667,c53337c,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,backup-pruning-and-archive,backup-pruning-and-archive,b1dce2e,DELETE_MERGED_SQUASH,squash-merged via PR #273; SHA not in main,#273,git branch -D
branch,close-fund-typed-ech-rows,close-fund-typed-ech-rows,d0f121a,DELETE_MERGED_SQUASH,squash-merged via PR #265,#265,git branch -D
branch,conv-26-doc-sync,conv-26-doc-sync,9182923,DELETE_MERGED_SQUASH,squash-merged via PR #266; remote gone,#266,git branch -D
branch,conv-27-doc-sync,conv-27-doc-sync,ff62ced,DELETE_MERGED_SQUASH,squash-merged via PR #272,#272,git branch -D
branch,cp-4b-author-first-trust,cp-4b-author-first-trust,fc4c96a,DELETE_MERGED_SQUASH,squash-merged via PR #269; remote gone,#269,git branch -D
branch,cp-4b-author-fmr,cp-4b-author-fmr,283fcfb,DELETE_MERGED_SQUASH,squash-merged via PR #270,#270,git branch -D
branch,cp-4b-author-ssga,cp-4b-author-ssga,fe693ae,DELETE_MERGED_SQUASH,squash-merged via PR #271,#271,git branch -D
branch,cp-4b-author-trowe,cp-4b-author-trowe,8c1afae,DELETE_MERGED_SQUASH,squash-merged via PR #267,#267,git branch -D
branch,cp-4b-blocker2-corroboration-probe,cp-4b-blocker2-corroboration-probe,a886e3d,DELETE_MERGED_SQUASH,squash-merged via PR #268; remote gone,#268,git branch -D
branch,cp-4b-discovery,cp-4b-discovery,22920de,DELETE_MERGED_SQUASH,squash-merged via PR #260; remote gone,#260,git branch -D
branch,claude/funny-lamarr-7e7698,claude/funny-lamarr-7e7698,4f5f2c9,DELETE_MERGED_SQUASH,squash-merged via PR #264,#264,git branch -D
branch,claude/modest-neumann-0b6b3c,claude/modest-neumann-0b6b3c,bba9bea,DELETE_MERGED_SQUASH,squash-merged via PR #263; remote gone,#263,git branch -D
branch,claude/sleepy-wright-49f441,claude/sleepy-wright-49f441,61fdf6e,DELETE_MERGED_SQUASH,squash-merged via PR #261; remote gone,#261,git branch -D
branch,unknown-classification-discovery,unknown-classification-discovery,e28ebcb,DELETE_MERGED_SQUASH,squash-merged via PR #259; remote gone,#259,git branch -D
branch,claude/angry-hypatia-3c51a9,claude/angry-hypatia-3c51a9,2ee0c29,INVESTIGATE,29 commits ahead of main; head=cef-asa-flip-and-relabel Phase 3-5 results+ROADMAP+handoff; no PR; possibly exploratory work for deferred cef-asa-period-backfill PR-B,,CHAT_DECISION_REQUIRED
