name,entity,type,category
ADVISORY RESEARCH INC,institution,,wealth_management
"AE INDUSTRIAL PARTNERS, LP",institution,,active
"AE INDUSTRIAL PARTNERS, LP",institution,,active
AEGIS FINANCIAL CORP,institution,,strategic
AEGIS FINANCIAL CORP,institution,,strategic
AFBI LP,institution,,uncategorized
AFBI LP,institution,,uncategorized
"AFT, FORSYTH & COMPANY, INC.",institution,,strategic
"AG Asset Advisory, LLC",institution,,wealth_management
AG2R LA MONDIALE GESTION D'ACTIFS,institution,,pension_insurance
AGF Investments America Inc.,institution,,active
AGF Investments LLC,institution,,active
AGF MANAGEMENT LTD,institution,,active
AGMAN CAPITAL LLC,institution,,active
AGUR PROVIDENT & TRAINING FUNDS MANAGEMENT LTD,institution,,active
AHL Partners LLP,institution,,active
AI-Squared Management Ltd,institution,,active
AIA Group Ltd,institution,,strategic
AIFG Consultants Ltd.,institution,,strategic
AIG Capital Corp,institution,,active
"AIP, LLC",institution,,uncategorized
"AJU IB Investment Co., Ltd.",institution,,active
AKUNA SECURITIES LLC,institution,,quantitative
ALBERT D MASON INC,institution,,strategic
ALERUS FINANCIAL NA,institution,,uncategorized
"ALEXANDER LABRUNERIE & CO., INC.",institution,,strategic
ALLEN & CO INC/ALLEN HOLDING INC,institution,,strategic
ALLEN HOLDING INC /NY,institution,,strategic
ALLEN OPERATIONS LLC,institution,,uncategorized
ALLIANZ LIFE INSURANCE CO OF NORTH AMERICA,institution,,mixed
"ALLIANZ MEXICO, S.A. COMPANIA DE SEGUROS",institution,,mixed
ALLSTATE CORP,institution,,strategic
ALPINE ASSOCIATES MANAGEMENT INC.,institution,,active
"ALPINE PRIVATE CAPITAL, LLC",institution,,active
"ALPINE WOODS CAPITAL INVESTORS, LLC",institution,,active
"ALPINE WOODS CAPITAL INVESTORS, LLC",institution,,active
ALTAROCK PARTNERS LP,institution,,hedge_fund
"ALTERNA WEALTH MANAGEMENT, INC",institution,,wealth_management
ALTFEST L J & CO INC,institution,,strategic
AMANSA CAPITAL PTE. LTD.,institution,,active
"AMARA FINANCIAL, LLC.",institution,,uncategorized
AMAZON COM INC,institution,,strategic
AMERICAN ASSETS INC,institution,,strategic
AMERICAN ENTERTAINMENT PROPERTIES CORP.,institution,,strategic
AMERICAN EXPRESS CO,institution,,uncategorized
"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I.",institution,,pension_insurance
AMERICAN FINANCIAL & TAX STRATEGIES INC,institution,,strategic
"AMERICAN INTERNATIONAL GROUP, INC.",institution,,strategic
AMERICAN SECURITIES LLC,institution,,uncategorized
"AMERIFLEX GROUP, INC.",institution,,strategic
AMERIPRISE FINANCIAL INC,institution,,strategic
AMERITAS LIFE INSURANCE CORP,institution,,pension_insurance
AMES NATIONAL CORP,institution,,strategic
AMF Tjanstepension AB,institution,,pension_insurance
AMG Funds LLC,institution,,uncategorized
AMH Equity Ltd,institution,,uncategorized
AMICA MUTUAL INSURANCE CO,institution,,pension_insurance
AMIRAL GESTION,institution,,uncategorized
AMS Capital Ltda,institution,,active
"AMUNDI ASSET MANAGEMENT US, INC.",institution,,active
AMUNDI AUSTRIA GMBH,institution,,uncategorized
AMUNDI HONG KONG LTD,institution,,strategic
ANCHYRA PARTNERS LLC,institution,,active
ANDERSON HOAGLAND & CO,institution,,strategic
ANDERSON HOAGLAND & CO,institution,,strategic
"ANGELO GORDON & CO., L.P.",institution,,strategic
ANTIPODES PARTNERS Ltd,institution,,active
APEIRON CAPITAL Ltd,institution,,active
APEX CLEARING CORPORATION,institution,,strategic
APEX CLEARING CORPORATION,institution,,strategic
APG Group,institution,,pension_insurance
APPLETON PARTNERS INC/MA,institution,,active
"APS Management Group, Inc.",institution,,active
AQR Arbitrage LLC,institution,,hedge_fund
"ARCH Venture Management, LLC",institution,,venture_capital
ARDSLEY ADVISORY PARTNERS LP,institution,,hedge_fund
ARES MANAGEMENT LLC,institution,,active
"ARISTOTLE INVESTMENT SERVICES, LLC",institution,,active
"ARK & TLK INVESTMENTS, LLC",institution,,active
"ARMSTRONG ADVISORY GROUP, INC",institution,,wealth_management
"ARRIEN INVESTMENTS, INC.",institution,,active
"ARRIEN INVESTMENTS, INC.",institution,,active
ARROWSTREET CAPITAL HOLDING LLC,institution,,active
"ARS Investment Partners, LLC",institution,,active
"ARTHUR M. COHEN & ASSOCIATES, LLC",institution,,active
"ARVEST INVESTMENTS, INC.",institution,,active
"ARVEST INVESTMENTS, INC.",institution,,active
ARWA LLC,institution,,uncategorized
"ASHTON THOMAS SECURITIES, LLC",institution,,uncategorized
"ASL Financial, LLC",institution,,uncategorized
ASO GROUP Ltd,institution,,strategic
"ASPIRIANT, LLC",institution,,uncategorized
ASR Nederland N.V.,institution,,uncategorized
ASR Vermogensbeheer N.V.,institution,,uncategorized
"ASSETMARK, INC",institution,,strategic
"ASSF Operating Manager IV, L.P.",institution,,uncategorized
"ATALANTA SOSNOFF CAPITAL, LLC",institution,,active
"ATALANTA SOSNOFF MANAGEMENT, LLC",institution,,active
"ATLANTIC FAMILY WEALTH, LLC",institution,,family_office
ATLAS Infrastructure Partners (UK) Ltd.,institution,,active
ATLas Financial Planning LLC,institution,,wealth_management
ATMOS CAPITAL GESTAO DE RECURSOS LTDA.,institution,,active
ATOMVEST Ltd,institution,,strategic
ATW SPAC MANAGEMENT LLC,institution,,active
"ATX Financial Planning, LLC",institution,,wealth_management
AVENIR CORP,institution,,strategic
AVIVA INVESTORS GLOBAL SERVICES LTD,institution,,pension_insurance
AVIVA PLC,institution,,pension_insurance
"AWH Capital, L.P.",institution,,active
"AWM CAPITAL, LLC",institution,,active
AXA INVESTMENT MANAGERS UK Ltd,institution,,pension_insurance
AXA INVESTMENT MANAGERS UK Ltd,institution,,pension_insurance
AXA Investment Managers Paris,institution,,pension_insurance
AXA Investment Managers S.A.,institution,,pension_insurance
AXA Investment Managers Select Indonesia PT,institution,,pension_insurance
AXA Investment Managers US Inc.,institution,,pension_insurance
AXA Investment Managers US Inc.,institution,,pension_insurance
AXA Real Estate Investment Managers SGP,institution,,pension_insurance
AXA S.A.,institution,,pension_insurance
AXIOM INVESTORS LLC /DE,institution,,uncategorized
AXIS CAPITAL HOLDINGS LTD,institution,,active
"AXON ENTERPRISE, INC.",institution,,strategic
"AXQ CAPITAL, LP",institution,,active
AXS Investments LLC,institution,,active
AXS Investments LLC,institution,,active
"Abacus Planning Group, Inc.",institution,,wealth_management
"Abacus Wealth Partners, LLC",institution,,wealth_management
"Abel Hall, LLC",institution,,uncategorized
Aberdeen Group plc,institution,,uncategorized
Abingworth LLP,institution,,uncategorized
Absolute Gestao de Investimentos Ltda.,institution,,strategic
Absoluto Partners Gestao de Recursos Ltda,institution,,active
Abu Dhabi Investment Council Co P.J.S.C,institution,,active
Abundance Wealth Counselors,institution,,wealth_management
Acadian Inc,institution,,strategic
Acasta Partners UK LLP,institution,,active
Accel Growth Fund V Associates L.L.C.,institution,,venture_capital
Accel Leaders 3 Associates L.P.,institution,,venture_capital
Accel Leaders 4 Associates L.P.,institution,,venture_capital
Accel XI Associates L.L.C.,institution,,venture_capital
Accordant Advisory Group Inc,institution,,wealth_management
Accredited Investors Inc.,institution,,strategic
"Accretive Wealth Partners, LLC",institution,,wealth_management
Ace Management Global Ltd.,institution,,active
Act Two Investors LLC,institution,,uncategorized
"Acuitas Investments, LLC",institution,,active
"Adaptive Financial Consulting, LLC",institution,,uncategorized
Addenda Capital Inc.,institution,,active
"Addis & Hill, Inc",institution,,strategic
Addison Capital Co,institution,,active
"Adero Partners, LLC",institution,,active
"Adom Partners, L.P.",institution,,active
"Advanced Portfolio Management, LLC",institution,,active
Advaya LLP,institution,,uncategorized
"Advent International, L.P.",institution,,private_equity
Adventist Health System/ West,institution,,uncategorized
"Advisor OS, LLC",institution,,uncategorized
"AdvisorNet Financial, Inc",institution,,strategic
"Advisory Alpha, LLC",institution,,hedge_fund
Advisory Resource Group,institution,,wealth_management
"Advisory Services Network, LLC",institution,,wealth_management
Advocate Investing Services LLC,institution,,uncategorized
Afeyan Noubar,institution,,uncategorized
Afeyan Noubar,institution,,uncategorized
"Affiance Financial, LLC",institution,,uncategorized
Affinity Partners Fund I Co-Invest GP LP,institution,,active
Affinity Partners GP LP,institution,,active
Aflac Inc,institution,,pension_insurance
"Aft, Forsyth & Sober, LLC",institution,,uncategorized
AgateCreek LLC,institution,,uncategorized
Al Mehwar Commercial Investments LLC,institution,,active
Al Warda Investments RSC Ltd,institution,,active
"AlTi Global, Inc.",institution,,strategic
"Alaethes Wealth, LLC",institution,,wealth_management
"Alaethes Wealth, LLC",institution,,wealth_management
"Alaethes Wealth, LLC",institution,,wealth_management
Alamea Verwaltungs GmbH,institution,,uncategorized
"Alan B Lancz & Associates, Inc.",institution,,strategic
"Alan B Lancz & Associates, Inc.",institution,,strategic
Alaska Permanent Fund Corp,institution,,strategic
Albar Capital Ltd,institution,,active
Alberta Investments Pte. Ltd.,institution,,active
"Alchemi Wealth, LLC",institution,,wealth_management
"Aldebaran Capital, LLC",institution,,active
Aldebaran Financial Inc.,institution,,strategic
Alden Global Capital LLC,institution,,active
Alecta Tjanstepension Omsesidigt,institution,,pension_insurance
"Alexander Randolph Advisory, Inc.",institution,,wealth_management
"Alexis Investment Partners, LLC",institution,,active
Alfred Berg Kapitalforvaltning AS,institution,,uncategorized
Alfreton Capital LLP,institution,,active
Alfreton Capital LLP,institution,,active
Algebris (UK) Ltd,institution,,strategic
Algebris (UK) Ltd,institution,,strategic
Algebris Investments (US) Inc.,institution,,active
Algebris Investments (US) Inc.,institution,,active
Alibaba Group Holding Ltd,institution,,strategic
"Align Financial, LLC",institution,,uncategorized
All-Stars Investment Ltd,institution,,active
Allan Gray Bermuda Ltd,institution,,strategic
Allen & CO LLC,institution,,strategic
"Alliance Private Wealth, LLC",institution,,wealth_management
"Alliance Wealth Strategies, LLC d/b/a Brown Edwards Wealth Strategies",institution,,wealth_management
"Allianz Fund Investments, Inc.",institution,,mixed
Allianz Global Investors Asia Pacific Ltd,institution,,mixed
Allianz Global Investors GmbH,institution,,mixed
Allianz Global Investors Japan Co. Ltd.,institution,,mixed
Allianz Global Investors Taiwan Ltd.,institution,,mixed
Allianz Global Investors UK Ltd,institution,,mixed
Allianz Hungaria Biztosito Zrt.,institution,,mixed
Allianz Investments III Luxembourg S.A.,institution,,mixed
Allianz SE,institution,,mixed
Allianz ZB Mandatory & Voluntary Pension Funds Management CO Ltd.,institution,,mixed
Allie Family Office LLC,institution,,family_office
"Allodium Investment Consultants, LLC",institution,,active
Allostery Investments LP,institution,,active
"Allspring Funds Management, LLC",institution,,active
"Allspring Global Investments Holdings, LLC",institution,,active
"Allspring Global Investments, LLC",institution,,active
Allworth Financial LP,institution,,uncategorized
Ally Bridge Group (NY) LLC,institution,,uncategorized
Ally Financial Inc.,institution,,strategic
Ally Insurance Holdings Inc.,institution,,pension_insurance
"Almanack Investment Partners, LLC.",institution,,active
Almitas Capital LLC,institution,,active
AlpInvest Partners B.V.,institution,,active
AlpenGlobal Capital LLC,institution,,active
"Alpha Cubed Investments, LLC",institution,,hedge_fund
Alpha Family Trust,institution,,hedge_fund
"Alpha Financial Partners, LLC",institution,,hedge_fund
"Alpha Omega Group, Inc.",institution,,hedge_fund
"Alpha Wave Global, LP",institution,,hedge_fund
"Alpha Wealth Funds, LLC",institution,,hedge_fund
"Alpha Wealth Funds, LLC",institution,,hedge_fund
Alpha Zero LLC,institution,,hedge_fund
AlphaCore Capital LLC,institution,,hedge_fund
AlphaQuest LLC,institution,,hedge_fund
Alphabet Inc.,institution,,hedge_fund
Alpine Fox Capital LLC,institution,,active
Alpine Fox Capital LLC,institution,,active
"Alpine Global Management, LLC",institution,,active
"Alpine Global Management, LLC",institution,,active
"Alpine Peaks Capital, LP",institution,,active
"Alpine Peaks Capital, LP",institution,,active
Alsek Investments Pte. Ltd.,institution,,active
"Alta Park Capital, LP",institution,,active
"Alta Partners Management Company, L.P.",institution,,active
Alteri Wealth LLC,institution,,wealth_management
"AltraVue Capital, LLC",institution,,active
Altrafin AG,institution,,uncategorized
Altshuler Shaham Ltd,institution,,strategic
Altus Wealth Group LLC,institution,,wealth_management
Altus Wealth Group LLC,institution,,wealth_management
"Alvarez & Marsal Private Wealth Partners, LLC",institution,,wealth_management
"Alyeska Investment Group, L.P.",institution,,wealth_management
"AmFam Holdings, Inc.",institution,,strategic
"Amalgamated Gadget, L.P.",institution,,uncategorized
Amanah Holdings Trust,institution,,endowment_foundation
Ameliora Wealth Management Ltd.,institution,,wealth_management
American Airlines Group Inc.,institution,,strategic
"American Airlines, Inc.",institution,,strategic
"American Capital Advisory, LLC",institution,,wealth_management
American Family Insurance Mutual Holding Co,institution,,pension_insurance
"American Family Investments Holdings, Inc.",institution,,active
"American Family Investments, Inc.",institution,,active
"American Investment Services, Inc.",institution,,active
"American Money Management, LLC",institution,,active
American Trust,institution,,endowment_foundation
"Americana Partners, LLC",institution,,active
Ameriprise Certificate CO,institution,,uncategorized
"Ameriprise Financial Services, LLC",institution,,wealth_management
"Ameritas Advisory Services, LLC",institution,,wealth_management
"Ameritas Advisory Services, LLC",institution,,wealth_management
"Ameritas Advisory Services, LLC",institution,,wealth_management
Amica Retiree Medical Trust,institution,,endowment_foundation
Amitell Capital Pte Ltd,institution,,active
"Amplify Investments, LLC",institution,,active
"Amtrust Financial Services, Inc.",institution,,endowment_foundation
Amundi (UK) Ltd,institution,,strategic
"Amundi Czech Republic Investicni Spolecnost, a.s.",institution,,uncategorized
Amundi Deutschland GmbH,institution,,uncategorized
Amundi Deutschland GmbH,institution,,uncategorized
Amundi Ireland Ltd,institution,,strategic
Amundi Ireland Ltd,institution,,strategic
Amundi Japan Ltd.,institution,,strategic
Amundi Japan Ltd.,institution,,strategic
Amundi SGR S.p.A.,institution,,uncategorized
Amundi Singapore Ltd,institution,,strategic
Amundi Singapore Ltd,institution,,strategic
Amundi Taiwan Ltd.,institution,,strategic
Analog Century Management LP,institution,,active
Analyst I.M.S. Mutual Funds Management,institution,,active
Analyst Provident Funds Ltd.,institution,,strategic
Anchor @ 65 Pte. Ltd.,institution,,strategic
Anchor IV Pte. Ltd.,institution,,strategic
Anchor V Pte. Ltd.,institution,,strategic
"Ancient Art, L.P.",institution,,uncategorized
Ancora Alternatives LLC,institution,,uncategorized
"Anderson Financial Strategies, LLC",institution,,uncategorized
"Anderson Financial Strategies, LLC",institution,,uncategorized
Anderson Investments Pte. Ltd.,institution,,active
Andra AP-fonden,institution,,uncategorized
"Andrews Advisory Associates, LLC",institution,,wealth_management
Angelakis Michael J,institution,,uncategorized
"Ankerstar Wealth, LLC",institution,,wealth_management
"Annandale Capital, LLC",institution,,active
"Annex Advisory Services, LLC",institution,,wealth_management
"Annie E. Casey Foundation, Inc.",institution,,endowment_foundation
"Annis Gardner Whiting Capital Advisors, LLC",institution,,wealth_management
"Anson Capital, Inc.",institution,,active
Antara Capital LP,institution,,active
Antara Capital LP,institution,,active
Antero Investments Pte. Ltd.,institution,,active
"Anthracite Investment Company, Inc.",institution,,active
Apeiron RIA LLC,institution,,uncategorized
"Apella Capital, LLC",institution,,active
"Aperture Investors, LLC",institution,,uncategorized
"Apexium Financial, LP",institution,,uncategorized
Apoletto Ltd,institution,,strategic
"Apollo Management Holdings, L.P.",institution,,active
"Apollon Financial, LLC",institution,,uncategorized
Applied Capital LLC/FL,institution,,active
"Applied Fundamental Research, LLC",institution,,uncategorized
Aquamarine Financial (Cayman) Ltd,institution,,strategic
Aquamarine Zurich AG,institution,,pension_insurance
Aranda Investments Pte. Ltd.,institution,,active
Arbejdsmarkedets Tillaegspension,institution,,pension_insurance
"Arbiter Partners QP, LP",institution,,active
ArchPoint Investors,institution,,uncategorized
Archer Investment Corp,institution,,active
"Archford Capital Strategies, LLC",institution,,active
Archon Partners LLC,institution,,active
"Ares Financial Consulting, LLC",institution,,uncategorized
"Argentarii, LLC",institution,,uncategorized
"Argo Wealth Advisory, LLC",institution,,wealth_management
"Argosy-Lionbridge Management, LLC",institution,,active
Arini Captial Management Ltd,institution,,active
Aristides Capital LLC,institution,,active
Aristides Capital LLC,institution,,active
Ariston Services Group,institution,,uncategorized
Ariston Services Group,institution,,uncategorized
"Aristotle Atlantic Partners, LLC",institution,,active
"Aristotle Capital Boston, LLC",institution,,active
"Aristotle Pacific Capital, LLC",institution,,active
Arizona PSPRS Trust,institution,,endowment_foundation
Arizona State Retirement System,institution,,pension_insurance
Arizona State Retirement System,institution,,pension_insurance
Arjuna Capital,institution,,active
"Arkfeld Wealth Strategies, L.L.C.",institution,,wealth_management
Arkhouse Management Co. LP,institution,,active
Arkhouse Management Co. LP,institution,,active
"Armstrong, Fleming & Moore, Inc",institution,,strategic
Arnhold LLC,institution,,uncategorized
Arnold Financial Planning LLC,institution,,wealth_management
Aronson Jeffrey,institution,,uncategorized
Arrow Capital Pty Ltd,institution,,active
Arrow Financial Corp,institution,,strategic
ArrowMark Colorado Holdings LLC,institution,,uncategorized
Arrowpoint Investment Partners (Hong Kong) Ltd,institution,,active
Arrowpoint Investment Partners (Singapore) Pte. Ltd.,institution,,active
Arrowpoint Investment Partners (Singapore) Pte. Ltd.,institution,,active
"Arrowroot Family Office, LLC",institution,,family_office
Artal Group S.A.,institution,,uncategorized
Artal International Management S.A.,institution,,active
Artal International S.C.A.,institution,,uncategorized
Artal Participations S.a r.l.,institution,,uncategorized
Arthur J. Gallagher & Co.,institution,,strategic
Artia Global Partners LP,institution,,hedge_fund
"Ascent Group, LLC",institution,,uncategorized
"Ashton Thomas Private Wealth, LLC",institution,,wealth_management
Asia Equity Partners Ltd,institution,,active
"Asio Capital, LLC",institution,,active
"Aspect Management, LLC",institution,,active
"Aspect Partners, LLC",institution,,active
"Aspen Grove Capital, LLC",institution,,active
"Aspen Wealth Strategies, LLC",institution,,wealth_management
Aspetuck Financial Management LLC,institution,,active
Aspex Management (HK) Ltd,institution,,active
Aspire Growth Partners LLC,institution,,active
"Aspire Private Capital, LLC",institution,,active
"Aspirean Wealth, LLC",institution,,wealth_management
"Asset Advisory Group, Inc.",institution,,wealth_management
"Asset Allocation & Management Company, LLC",institution,,active
Asset Allocation Strategies LLC,institution,,uncategorized
"Asset Dedication, LLC",institution,,uncategorized
"Asset Planning,Inc",institution,,wealth_management
Asset Value Investors Ltd,institution,,strategic
"AssetMark Financial Holdings, Inc.",institution,,strategic
Associated Banc-Corp,institution,,strategic
Assurances du Credit Mutuel Vie SA,institution,,uncategorized
Astra Wealth Partners LLC,institution,,wealth_management
Astra Wealth Partners LLC,institution,,wealth_management
"Atairos Group, Inc.",institution,,strategic
"Atairos Partners GP, Inc.",institution,,active
"Atairos Partners, L.P.",institution,,active
Atala Financial Inc,institution,,strategic
"Ategra Community Financial Institution Fund, LP",institution,,uncategorized
Athos Capital Ltd,institution,,active
"Atlantic Private Wealth, LLC",institution,,wealth_management
"Atlas Brown,Inc.",institution,,strategic
Atlas Capital GP III LP,institution,,active
Atlas Capital GP IV LP,institution,,active
Atlas Capital Resources GP III LLC,institution,,active
Atlas Capital Resources GP IV LLC,institution,,active
Atlas FRM LLC,institution,,uncategorized
Atlas Merchant Capital LLC,institution,,active
"Atlas Venture Associates VIII, Inc.",institution,,venture_capital
"Atlas Venture Associates VIII, L.P.",institution,,venture_capital
"Atlas Venture Fund VIII, L.P.",institution,,venture_capital
Atlas Wealth LLC,institution,,wealth_management
Atlas Wealth LLC,institution,,wealth_management
"Atlas Wealth Partners, LLC",institution,,wealth_management
Atle Fund Management AB,institution,,active
"Atreides Management, LP",institution,,active
"Atria Investments, Inc",institution,,active
"Atria Investments, Inc",institution,,active
"Atria Wealth Solutions, Inc.",institution,,wealth_management
Attessa Capital LLC,institution,,active
Attestor Capital Ltd,institution,,active
Attestor Ltd,institution,,strategic
Attestor Services Ltd,institution,,strategic
Atudot Pension Fund For Employees & Independents Ltd.,institution,,pension_insurance
Atwater Malick LLC,institution,,uncategorized
Aufman Associates Inc,institution,,strategic
August Group Capital Ltd,institution,,active
Auour Investments LLC,institution,,active
Aurelius Family Office LLC,institution,,family_office
Aurora Investment Counsel,institution,,active
"Aurora Private Wealth, Inc.",institution,,wealth_management
"Ausdal Financial Partners, Inc.",institution,,active
AustralianSuper Pty Ltd,institution,,strategic
"Authentikos Wealth Advisory, LLC",institution,,wealth_management
"Authentikos Wealth Advisory, LLC",institution,,wealth_management
Auto-Owners Insurance Co,institution,,pension_insurance
"Autumn Glory Partners, LLC",institution,,active
Avalon Advisory Group,institution,,wealth_management
Avant Capital LLC,institution,,active
"Avantax Planning Partners, Inc.",institution,,wealth_management
Avanza Fonder AB,institution,,uncategorized
Avenir Tech Ltd,institution,,strategic
"Aventura Private Wealth, LLC",institution,,wealth_management
"Avestar Capital, LLC",institution,,active
"Avidian Wealth Enterprises, LLC",institution,,wealth_management
Avidity Partners Management LP,institution,,active
Avion Wealth,institution,,wealth_management
"Avise Financial Cooperative, Inc.",institution,,strategic
Aviso Financial Inc.,institution,,strategic
"Avory & Company, LLC",institution,,strategic
Aware Super Pty Ltd as trustee of Aware Super,institution,,endowment_foundation
"Axecap Investments, LLC",institution,,active
"Axecap Investments, LLC",institution,,active
Axel Blair,institution,,uncategorized
Axim Planning & Wealth,institution,,wealth_management
"Axiom Financial Strategies, LLC",institution,,uncategorized
"Axis Wealth Partners, LLC",institution,,wealth_management
Axos Invest Inc.,institution,,strategic
Ayalon Insurance Comp Ltd.,institution,,pension_insurance
Azora Capital LP,institution,,active
"B Group, Inc.",institution,,strategic
"B&D White Capital Company, LLC",institution,,active
B&I Capital AG,institution,,active
B&I Capital AG,institution,,active
B. Metzler seel. Sohn & Co. AG,institution,,strategic
"BAILARD, INC.",institution,,strategic
BAILLIE GIFFORD & CO,institution,,strategic
BAILLIE GIFFORD & CO LTD,institution,,strategic
BAILLIE GIFFORD OVERSEAS LTD,institution,,strategic
"BAIN CAPITAL VENTURE INVESTORS, LLC",institution,,venture_capital
"BAKER TILLY WEALTH MANAGEMENT, LLC",institution,,wealth_management
BALDWIN WEALTH PARTNERS LLC/MA,institution,,wealth_management
BAM Credit & Insurance Solutions Advisor LLC,institution,,pension_insurance
BAMCO INC /NY/,institution,,strategic
BANC FUNDS CO LLC,institution,,uncategorized
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",institution,,uncategorized
BANQUE DEGROOF PETERCAM LUXEMBOURG S.A.,institution,,uncategorized
BANQUE PICTET & CIE SA,institution,,uncategorized
BARDIN HILL MANAGEMENT PARTNERS LP,institution,,hedge_fund
BARINGS LLC,institution,,uncategorized
BARR E S & CO,institution,,strategic
"BARRETT & COMPANY, INC.",institution,,strategic
BASS LEE M /TX/,institution,,uncategorized
BASS ROBERT M,institution,,uncategorized
BASS SID R,institution,,uncategorized
BAXTER BROS INC,institution,,strategic
BB BIOTECH AG,institution,,uncategorized
BBFIT INVESTMENTS PTE LTD,institution,,active
"BBR PARTNERS, LLC",institution,,active
BC Partners PE LP,institution,,active
BC Partners PE LP,institution,,active
"BC Perception Holdings, LP",institution,,uncategorized
"BCI SECURITIES, INC.",institution,,strategic
"BCK Partners, Inc.",institution,,active
"BCLS Fund III Investments GP, LLC",institution,,active
"BCLS Fund III Investments, LP",institution,,active
"BCLS II Investco (GP), LLC",institution,,uncategorized
"BCLS II Investco, LP",institution,,uncategorized
